,id,ID,cycexp,G2_year,YOB,famfriends,cycling_test,walk_test,downtown_test,downtown_tor,turn_num,MV,PED,CYC,direction,control_type,failure
142,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T16,1,1,1,Left,Uncontrolled,Yes
143,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T17,1,1,1,Left,Signalized,No
144,8,2010,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week,T18,2.333333333,1,1,Left,Signalized,Yes
145,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T1,1.666666667,1,1,Right,Signalized,Yes
146,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T2,1,1,1,Left,Signalized,No
147,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T3,2,1,1,Right,Signalized,No
148,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T4,1,1.666666667,1,Right,Signalized,No
149,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T5,1,1,1,Left,Uncontrolled,No
150,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T6,1,1,1,Left,Signalized,Yes
151,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T7,1,1,1,Left,Uncontrolled,Yes
152,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T8,2.333333333,2,1,Right,Uncontrolled,Yes
153,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T9,1,1,1,Right,Uncontrolled,No
154,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T10,2,1,1,Right,Signalized,No
155,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T11,1,1,1,Right,Signalized,No
156,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T12,1,1,1,Left,Uncontrolled,No
157,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T13,1,1,1,Right,Signalized,Yes
158,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T14,1,1,1,Right,Uncontrolled,No
159,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T15,2,1,1,Right,Signalized,Yes
160,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T16,1,1,1,Left,Uncontrolled,Yes
161,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T17,1,1,1,Left,Signalized,No
162,9,2011,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T18,2,1,1,Left,Signalized,No
163,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T1,1,1.666666667,1,Right,Signalized,No
164,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T2,2,3,1,Left,Signalized,No
165,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T3,1,1,1,Right,Signalized,No
166,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T4,1,1.333333333,1,Right,Signalized,No
167,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T5,1,1.666666667,1,Left,Uncontrolled,Yes
168,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T6,1,1.666666667,1,Left,Signalized,No
169,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T7,2.333333333,1,1,Left,Uncontrolled,No
170,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T8,1.333333333,1,1,Right,Uncontrolled,No
171,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T9,1,1,1,Right,Uncontrolled,No
172,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T10,1,1,1,Right,Signalized,No
173,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T11,1,1,1,Right,Signalized,No
174,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T12,1,1,1,Left,Uncontrolled,No
175,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T13,1.666666667,1.333333333,1,Right,Signalized,No
176,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T14,1,1,1,Right,Uncontrolled,No
177,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T15,1,1,1,Right,Signalized,No
178,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T16,1,1,1,Left,Uncontrolled,No
179,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T17,1,1,1,Left,Signalized,No
180,10,2012,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week,T18,2,1,1,Left,Signalized,No
181,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T1,1,1,1,Right,Signalized,No
182,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T2,2,1.333333333,1,Left,Signalized,No
183,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T3,1.666666667,1,1,Right,Signalized,Yes
184,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T4,3,2.666666667,1,Right,Signalized,Yes
185,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T5,3,1,1,Left,Uncontrolled,No
186,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T6,1.333333333,2.333333333,1,Left,Signalized,No
187,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T7,3,1,1,Left,Uncontrolled,No
188,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T8,2,1,1,Right,Uncontrolled,Yes
189,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T9,1,1,1,Right,Uncontrolled,Yes
190,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T10,1.666666667,1,1,Right,Signalized,Yes
191,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T11,2,1,1,Right,Signalized,No
192,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T12,2,1,1,Left,Uncontrolled,No
193,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T13,1,1,1,Right,Signalized,No
194,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T14,1,1,1,Right,Uncontrolled,No
195,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T15,1,2,1,Right,Signalized,No
196,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T16,2.333333333,1,1,Left,Uncontrolled,Yes
197,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T17,1,1,1,Left,Signalized,No
198,11,2013,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week,T18,2,1,1,Left,Signalized,No
199,12,2014,Never,1997,1978,No,Never,A few days a week,Every day or almost every day,Every day or almost every day,T1,2,1,1,Right,Signalized,Yes
200,12,2014,Never,1997,1978,No,Never,A few days a week,Every day or almost every day,Every day or almost every day,T2,1,1,1,Left,Signalized,No
